SKU OG,SKU AC
brand16 sub_brand5 LATA NO RETORNABLE 330.0,AGUILA LIGHT LATA NO RETORNABLE 330.0
brand7 sub_brand23 LATA NO RETORNABLE 269.0,BOGOTA BEER COMPANY LA COTIDIANA LATA NO RETORNABLE 269.0
brand22 sub_brand27 BOTELLA NO RETORNABLE 330.0,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 330.0
brand32 sub_brand2 BOTELLA RETORNABLE 330.0,NATIVA T. BOTELLA RETORNABLE 330.0
brand16 sub_brand6 LATA NO RETORNABLE 355.0,AGUILA CERO LATA NO RETORNABLE 355.0
brand69 sub_brand2 LATA NO RETORNABLE 330.0,ESTRELLA DAMM T. LATA NO RETORNABLE 330.0
brand22 sub_brand18 BOTELLA NO RETORNABLE 330.0,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 330.0
brand16 sub_brand5 BOTELLA RETORNABLE 250.0,AGUILA LIGHT BOTELLA RETORNABLE 250.0
brand3 sub_brand12 LATA NO RETORNABLE 330.0,COSTENA BACANA LATA NO RETORNABLE 330.0
brand35 sub_brand2 LATA NO RETORNABLE 330.0,CENTRAL T. LATA NO RETORNABLE 330.0
brand57 sub_brand25 LATA NO RETORNABLE 269.0,MILLER LITE LATA NO RETORNABLE 269.0
brand25 sub_brand2 LATA NO RETORNABLE 250.0,STELLA ARTOIS T. LATA NO RETORNABLE 250.0
brand18 sub_brand2 BOTELLA NO RETORNABLE 330.0,PUNK IPA T. BOTELLA NO RETORNABLE 330.0
brand15 sub_brand3 LATA NO RETORNABLE 330.0,PILSEN CTE LATA NO RETORNABLE 330.0
brand14 sub_brand5 LATA NO RETORNABLE 473.0,ANDINA LIGHT LATA NO RETORNABLE 473.0
brand20 sub_brand3 LATA NO RETORNABLE 473.0,HEINEKEN CTE LATA NO RETORNABLE 473.0
brand46 sub_brand3 BOTELLA NO RETORNABLE 330.0,OTRAS MARCAS CTE BOTELLA NO RETORNABLE 330.0
brand61 sub_brand3 BOTELLA NO RETORNABLE 275.0,BECK'S CTE BOTELLA NO RETORNABLE 275.0
brand18 sub_brand2 LATA NO RETORNABLE 330.0,PUNK IPA T. LATA NO RETORNABLE 330.0
brand46 sub_brand2 BOTELLA NO RETORNABLE 500.0,OTRAS MARCAS T. BOTELLA NO RETORNABLE 500.0
brand75 sub_brand2 BOTELLA NO RETORNABLE 330.0,GULDEN DRAAK T. BOTELLA NO RETORNABLE 330.0
brand22 sub_brand13 BOTELLA NO RETORNABLE 300.0,3 CORDILLERAS ROSADA BOTELLA NO RETORNABLE 300.0
brand14 sub_brand5 BOTELLA RETORNABLE 750.0,ANDINA LIGHT BOTELLA RETORNABLE 750.0
brand3 sub_brand3 BOTELLA RETORNABLE 330.0,COSTENA CTE BOTELLA RETORNABLE 330.0
brand22 sub_brand18 BOTELLA NO RETORNABLE 300.0,3 CORDILLERAS MULATA BOTELLA NO RETORNABLE 300.0
brand52 sub_brand2 LATA NO RETORNABLE 500.0,KOSTRITZER T. LATA NO RETORNABLE 500.0
brand1 sub_brand1 LATA NO RETORNABLE 473.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 473.0
brand22 sub_brand27 BOTELLA NO RETORNABLE 300.0,3 CORDILLERAS MESTIZA BOTELLA NO RETORNABLE 300.0
brand50 sub_brand9 BOTELLA NO RETORNABLE 210.0,CORONITA EXTRA BOTELLA NO RETORNABLE 210.0
brand12 sub_brand3 LATA NO RETORNABLE 269.0,POKER CTE LATA NO RETORNABLE 269.0
brand51 sub_brand3 LATA NO RETORNABLE 296.0,REDD'S CTE LATA NO RETORNABLE 296.0
brand7 sub_brand11 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY CHAPINERO BOTELLA NO RETORNABLE 330.0
brand83 sub_brand3 BOTELLA NO RETORNABLE 330.0,CUSQUENA CTE BOTELLA NO RETORNABLE 330.0
brand25 sub_brand2 BOTELLA NO RETORNABLE 300.0,STELLA ARTOIS T. BOTELLA NO RETORNABLE 300.0
brand51 sub_brand3 BOTELLA RETORNABLE 330.0,REDD'S CTE BOTELLA RETORNABLE 330.0
brand16 sub_brand20 BOTELLA RETORNABLE 330.0,AGUILA 0 BOTELLA RETORNABLE 330.0
brand19 sub_brand3 BOTELLA NO RETORNABLE 500.0,ERDINGER CTE BOTELLA NO RETORNABLE 500.0
brand41 sub_brand3 LATA NO RETORNABLE 473.0,POLA DEL PUB CTE LATA NO RETORNABLE 473.0
brand31 sub_brand2 LATA NO RETORNABLE 500.0,PAULANER MUNCHEM-WEISSBIER T. LATA NO RETORNABLE 500.0
brand50 sub_brand9 BOTELLA RETORNABLE 210.0,CORONITA EXTRA BOTELLA RETORNABLE 210.0
brand81 sub_brand3 BOTELLA NO RETORNABLE 355.0,MICHELOB ULTRA CTE BOTELLA NO RETORNABLE 355.0
brand53 sub_brand2 BOTELLA NO RETORNABLE 250.0,LIEFMANS T. BOTELLA NO RETORNABLE 250.0
brand25 sub_brand2 LATA NO RETORNABLE 269.0,STELLA ARTOIS T. LATA NO RETORNABLE 269.0
brand28 sub_brand2 BOTELLA NO RETORNABLE 330.0,KUNSTMANN T. BOTELLA NO RETORNABLE 330.0
brand16 sub_brand20 LATA NO RETORNABLE 330.0,AGUILA 0 LATA NO RETORNABLE 330.0
brand64 sub_brand2 BOTELLA NO RETORNABLE 750.0,DELIRIUM T. BOTELLA NO RETORNABLE 750.0
brand79 sub_brand2 BOTELLA NO RETORNABLE 330.0,SCHOFFERHOFER T. BOTELLA NO RETORNABLE 330.0
brand16 sub_brand3 LATA NO RETORNABLE 269.0,AGUILA CTE LATA NO RETORNABLE 269.0
brand1 sub_brand1 LATA NO RETORNABLE 269.0,CLUB COLOMBIA PREMIUM/EXTRA FINA LATA NO RETORNABLE 269.0
brand16 sub_brand5 BOTELLA RETORNABLE 330.0,AGUILA LIGHT BOTELLA RETORNABLE 330.0
brand80 sub_brand2 LATA NO RETORNABLE 500.0,STEAM BREW T. LATA NO RETORNABLE 500.0
brand31 sub_brand2 BOTELLA NO RETORNABLE 500.0,PAULANER MUNCHEM-WEISSBIER T. BOTELLA NO RETORNABLE 500.0
brand70 sub_brand3 BOTELLA NO RETORNABLE 330.0,PERONI CTE BOTELLA NO RETORNABLE 330.0
brand14 sub_brand3 LATA NO RETORNABLE 269.0,ANDINA CTE LATA NO RETORNABLE 269.0
brand79 sub_brand2 LATA NO RETORNABLE 500.0,SCHOFFERHOFER T. LATA NO RETORNABLE 500.0
brand37 sub_brand2 BOTELLA NO RETORNABLE 330.0,BRUDER T. BOTELLA NO RETORNABLE 330.0
brand48 sub_brand2 BOTELLA NO RETORNABLE 750.0,CHIMAY PERES T. BOTELLA NO RETORNABLE 750.0
brand8 sub_brand2 LATA NO RETORNABLE 330.0,LANDVIK T. LATA NO RETORNABLE 330.0
brand7 sub_brand4 LATA NO RETORNABLE 269.0,BOGOTA BEER COMPANY CAJICA LATA NO RETORNABLE 269.0
brand90 sub_brand3 LATA NO RETORNABLE 330.0,LLAVE CTE LATA NO RETORNABLE 330.0
brand16 sub_brand3 BOTELLA RETORNABLE 330.0,AGUILA CTE BOTELLA RETORNABLE 330.0
brand17 sub_brand3 BOTELLA NO RETORNABLE 330.0,SOL CTE BOTELLA NO RETORNABLE 330.0
brand68 sub_brand2 LATA NO RETORNABLE 500.0,EICHBAUM T. LATA NO RETORNABLE 500.0
brand57 sub_brand25 LATA NO RETORNABLE 330.0,MILLER LITE LATA NO RETORNABLE 330.0
brand1 sub_brand1 BOTELLA RETORNABLE 330.0,CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA RETORNABLE 330.0
brand27 sub_brand2 BOTELLA NO RETORNABLE 300.0,CZECHVAR T. BOTELLA NO RETORNABLE 300.0
brand16 sub_brand5 BOTELLA RETORNABLE 750.0,AGUILA LIGHT BOTELLA RETORNABLE 750.0
brand7 sub_brand4 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY CAJICA BOTELLA NO RETORNABLE 330.0
brand26 sub_brand9 BOTELLA NO RETORNABLE 355.0,CORONA EXTRA BOTELLA NO RETORNABLE 355.0
brand16 sub_brand3 BOTELLA RETORNABLE 1000.0,AGUILA CTE BOTELLA RETORNABLE 1000.0
brand3 sub_brand12 BOTELLA NO RETORNABLE 320.0,COSTENA BACANA BOTELLA NO RETORNABLE 320.0
brand38 sub_brand2 BOTELLA NO RETORNABLE 330.0,HAZY JANE T. BOTELLA NO RETORNABLE 330.0
brand6 sub_brand2 BOTELLA NO RETORNABLE 500.0,STOWFORD T. BOTELLA NO RETORNABLE 500.0
brand48 sub_brand2 BOTELLA NO RETORNABLE 330.0,CHIMAY PERES T. BOTELLA NO RETORNABLE 330.0
brand7 sub_brand31 BOTELLA NO RETORNABLE 330.0,BOGOTA BEER COMPANY SEPTIMAZO BOTELLA NO RETORNABLE 330.0
brand16 sub_brand3 LATA NO RETORNABLE 473.0,AGUILA CTE LATA NO RETORNABLE 473.0
brand20 sub_brand3 LATA NO RETORNABLE 310.0,HEINEKEN CTE LATA NO RETORNABLE 310.0
brand84 sub_brand37 BOTELLA NO RETORNABLE 355.0,MODELO ESPECIAL BOTELLA NO RETORNABLE 355.0
brand57 sub_brand24 BOTELLA NO RETORNABLE 355.0,MILLER GENUINE DRAFT BOTELLA NO RETORNABLE 355.0
brand15 sub_brand3 BOTELLA RETORNABLE 750.0,PILSEN CTE BOTELLA RETORNABLE 750.0
brand14 sub_brand5 BOTELLA RETORNABLE 250.0,ANDINA LIGHT BOTELLA RETORNABLE 250.0
brand55 sub_brand2 BOTELLA NO RETORNABLE 500.0,ASPALL T. BOTELLA NO RETORNABLE 500.0
brand16 sub_brand3 BOTELLA NO RETORNABLE 500.0,AGUILA CTE BOTELLA NO RETORNABLE 500.0
