sku,reference_volume,reference_price
POKER CTE BOTELLA RETORNABLE 750.0,29029.63474,7131.441895
POKER CTE LATA NO RETORNABLE 269.0,13519.76459,8627.18457
POKER CTE LATA NO RETORNABLE 330.0,48550.21778,9607.730794
POKER CTE LATA NO RETORNABLE 355.0,12.78464201,8821.849284
POKER CTE LATA NO RETORNABLE 473.0,32595.68759,8347.401042
POKER CTE OTROS ENVASES NO RETORNABLE 330.0,767.728051,9654.465495
POKER LIGERA BOTELLA RETORNABLE 330.0,454.4198984,8814.861328
POKER LIGERA LATA NO RETORNABLE 330.0,0.0033,87878.78906
POKER PURA MALTA BOTELLA RETORNABLE 330.0,2.097667446,8920.822021
POKER PURA MALTA LATA NO RETORNABLE 330.0,13.55939448,9209.432943
POKER ROJA LATA NO RETORNABLE 330.0,0.234100488,10858.55908
REDD'S CTE BOTELLA NO RETORNABLE 250.0,0.854039387,21786.93945
REDD'S CTE BOTELLA RETORNABLE 330.0,209.3240696,11526.17806
REDD'S CTE LATA NO RETORNABLE 269.0,4155.742323,12373.85352
REDD'S CTE LATA NO RETORNABLE 296.0,7.113075763,10635.64128
REDD'S ROSE LATA NO RETORNABLE 269.0,1258.96471,12931.11361
STELLA ARTOIS T. BARRIL NO RETORNABLE null.0,5.757584295,10775.51335
STELLA ARTOIS T. BOTELLA NO RETORNABLE 300.0,6880.645859,16639.55078
STELLA ARTOIS T. BOTELLA NO RETORNABLE 330.0,214.3004184,17267.70182
STELLA ARTOIS T. LATA NO RETORNABLE 250.0,0.223332997,15123.73372
STELLA ARTOIS T. LATA NO RETORNABLE 269.0,2078.448679,12892.111
STELLA ARTOIS T. LATA NO RETORNABLE 330.0,0.411320512,11711.85352
AGUILA FUSION BOTELLA RETORNABLE 175.0,164.4145723,9595.736816
COSTENA CTE BOTELLA RETORNABLE 350.0,219.9676056,4743.738566
CLUB COLOMBIA SIEMBRA BOTELLA RETORNABLE 330.0,0.0033,9090.90918
CLUB COLOMBIA PREMIUM/EXTRA FINA BOTELLA NO RETORNABLE 900.0,0.0045,3333.376587
AGUILA LIGHT LATA NO RETORNABLE 300.0,15.92799212,9874.962891
AGUILA CERO BOTELLA NO RETORNABLE 330.0,0.238854664,8115.589355
CLUB COLOMBIA ROJA LATA NO RETORNABLE 355.0,0.251700494,7353.964844
BOGOTA BEER COMPANY CANDELARIA BOTELLA NO RETORNABLE 330.0,0.033000001,13030.30273
BOGOTA BEER COMPANY OTRAS BOTELLA NO RETORNABLE 330.0,0.00693,32604.54492
AGUILA LIGHT BOTELLA NO RETORNABLE 200.0,0.096000003,5916.666504
POKER CTE BOTELLA NO RETORNABLE 300.0,0.00288,4895.833496
BUDWEISER T. BOTELLA NO RETORNABLE null.0,0.018899999,7380.952637
POKER ROJA LATA NO RETORNABLE 355.0,0.414769009,8450.708984
BECK'S CTE BOTELLA RETORNABLE 275.0,2.114138056,9090.908203
